Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_57_923.jpg;0;0;1;0;99.66999;85.58897;0.0002338498;55.98457;-1.458604E-06
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_57_958.jpg;0;0;0;0;99.66999;85.58897;0.0002338342;55.98457;-1.407575E-06
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_025.jpg;0;0;0;0;99.66999;85.58897;0.0002339051;55.98457;-1.274303E-06
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_092.jpg;2.002501;0;0;0;99.66999;85.58897;0.0002350997;56.22489;-2.349245E-06
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_158.jpg;0;0;0;0;99.66999;85.58897;0.0002355082;56.22489;-2.225236E-06
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_225.jpg;0;0;0;0;99.66999;85.58897;0.0002359166;56.22489;-2.101227E-06
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_292.jpg;0;0;0;0;99.66999;85.58897;0.000236223;56.22489;-2.008217E-06
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_358.jpg;0;0;0;0;99.66999;85.58897;0.0002365294;56.22489;-1.915213E-06
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_426.jpg;0;0;0;0;99.66999;85.58897;0.0002369688;56.22489;-1.89332E-06
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_492.jpg;-1.933208;0;0;0;99.66999;85.58897;0.0002376846;55.99292;-7.493642E-07
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_558.jpg;-5.93226;0;0;0;99.66999;85.58897;0.0002378222;55.16459;2.969565E-06
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_626.jpg;-9.937863;0;0;0;99.66999;85.58897;0.0002376076;53.0185;1.188478E-05
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_692.jpg;-13.95061;0;0;0;99.66999;85.58897;0.0002362312;50.62663;1.99133E-05
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_758.jpg;-15;0;0;0;99.66999;85.58897;0.0002357041;47.92667;2.902081E-05
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_825.jpg;-15;0;0;0;99.66999;85.58897;0.0002351024;44.32674;3.850011E-05
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_892.jpg;-15;0;0;0;99.66999;85.58897;0.0002355693;41.62675;4.350482E-05
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_58_958.jpg;-11.01419;0;0;0;99.66999;85.58897;0.0002351334;39.40606;4.485164E-05
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_025.jpg;-7.003012;0;0;0;99.66999;85.58897;0.0002363136;37.48735;4.249217E-05
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_091.jpg;-3.013916;0;0;0;99.66999;85.58897;0.0002378905;36.8252;3.743151E-05
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_158.jpg;0;0;0;0;99.66999;85.58897;0.0002407259;36.70299;2.945628E-05
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_225.jpg;0;0;0;0;99.66999;85.58897;0.0002437977;36.70299;1.762436E-05
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_292.jpg;0.01451969;0;0;0;99.66999;85.58897;0.0002461584;36.82522;1.030186E-05
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_359.jpg;4.031811;0;0;0;99.66999;85.58897;0.0002478969;37.31054;1.763338E-06
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_425.jpg;8.155017;0.2061603;0;0;99.67023;85.58912;0.005860284;37.21466;-0.0006097055
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_491.jpg;8.023067;0.3994653;0;0.01896749;99.67151;85.59032;0.04260334;37.08841;0.003700619
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_558.jpg;4.021311;0.5995531;0;0.0412005;99.67469;85.59299;0.1285513;37.09152;0.007946185
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_625.jpg;0.01414776;0.7999113;0;0.05611365;99.68211;85.59869;0.3110456;37.05561;0.00862863
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_692.jpg;0;1;0;0.1115663;99.69119;85.60548;0.5121879;37.24898;-0.0004463547
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_758.jpg;0;1;0;0.1968049;99.7039;85.61522;0.7680382;37.2457;0.000373266
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_825.jpg;1.999083;1;0;0.2262112;99.724;85.63074;1.111612;37.14413;0.002734938
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_892.jpg;6.012125;1;0;0.2864827;99.74113;85.64503;1.330665;37.28288;-4.072531E-05
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_10_59_958.jpg;10.00734;1;0;0.3411682;99.75583;85.65781;1.244074;37.59136;-0.0002735388
/home/till/Courses/roboND/RoverProject/RoboND-Rover-Project/own_dataset/IMG/robocam_2017_05_26_12_11_00_025.jpg;9.882531;1;0;0.4095615;99.77954;85.67944;1.111149;38.05156;-0.00179094
